,contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-8381230866408697127,-8381230866408697127,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Put a ring on it: three smart rings with plenty of beauty and brains,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Burger King aceita pedidos via mensagens no Facebook - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
-8377626164558006982,-8377626164558006982,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,Building a high-throughput data science machine,Graph-powered Machine Learning at Google
-8370744479086515302,-8370744479086515302,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Blockchain Will Be Used By 15% of Big Banks By 2017,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Say goodbye to traditional customer segmentation "" Banking Technology"
-8369610219380465981,-8369610219380465981,Automation and anxiety,The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Don't Waste Your Time on Networking Events
-8349788035147634450,-8349788035147634450,35 Innovative and Inspirational Website Designs in Banking,O tênue equilíbrio da equipe que desenha produtos digitais,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Chatbots: Are they better without the chat?,#FinTech is all about human-centred design - Chris Skinner's blog
-8340365043226490059,-8340365043226490059,The omnichannel customer experience is poised to take off in regulated industries,The future is the trust economy,Onde a tecnologia e o cuidado se encontram? - Saúde Business,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift
-8314629309720421219,-8314629309720421219,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,6 New Tech Gadgets That Will Simplify Your Life in 2017,3M e o perfil intraempreendedor | Endeavor Brasil,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados
-8312968399134741370,-8312968399134741370,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Walmart compra startup para brigar com Amazon | EXAME.com,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,7 Questions to Ask Before Your Next Digital Transformation
-8287402887944984163,-8287402887944984163,"Open Source Won. So, Now What?",Dries Buytaert: Advancing Drupal's web services,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"There will be a Drupal 9, and here is why"
-8282357075607822317,-8282357075607822317,GE Digital snags ServiceMax for $915 million,Microsoft is taking its cues from Facebook as it totally shakes up Office,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",Now we know how profitable Microsoft's cloud business is -and investors should be happy,You won't recognize the new world of digital payments without this report
-8279505492976427918,-8279505492976427918,"Google I/O: Expect A.I., virtual reality",What the Google I/O schedule tells us about the future of Android,Uma recepção eficiente,Enable secure mode on your web product | Intercom Docs,Why Steve Jobs Was Proud to Steal Ideas
-8278633353687754322,-8278633353687754322,"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",Conversational Banking; from branches to bots. - Chatbots Magazine,"Chatbots Are Your Newest, Dumbest Co-Workers","Amazon looking to buy Capital One? "" Banking Technology",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
-8278375716950339547,-8278375716950339547,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Vídeos de testes unitários em sistemas embarcados - Embarcados,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017
-8277924497842156608,-8277924497842156608,An Overly Thorough Guide To Underused Android Libraries,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,Achievement Unlocked : AWS Certified Solutions Architect Professional,Why 2016 is shaping up to be the Year of the Bot,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
-8258529658421542282,-8258529658421542282,"How to Build and Publish ES6 Modules Today, with Babel and Rollup","Apple launches Safari Technology Preview, a browser for developers including experimental web features",Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Modelando APIs REST com Swagger,Comparing React.js to Vue.js for dynamic tabular data
-8257579276626076787,-8257579276626076787,IBM Watson e a revolução pela inteligência artificial | Udacity,Intel's internal IoT platform for real-time enterprise analytics,Novidades do CDI 2.0,3M e o perfil intraempreendedor | Endeavor Brasil,Effective learning through code workshops | Box Blog
-8254222281357012124,-8254222281357012124,How Green Was My Valley (1941),Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,To bot or not to bot
-8248141950199177506,-8248141950199177506,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,State of Drupal 2016 survey | Dries Buytaert,Coder | Drupal.org,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Omnitone: Spatial audio on the web
-8245663037926520114,-8245663037926520114,Black Mirror (TV Series 2011- ),Sete Reinos,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,The 'impossible' is now a reality,What exactly is a design culture? 
-8244000618837043328,-8244000618837043328,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Kickstarter 3D printer will print circuit boards as part of your designs
-8243488279185272615,-8243488279185272615,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,American Express ... and the Book of Mormon - Chris Skinner's blog,Visa lança desafio para startups de tecnologia - Startupi,"Simple rolls out shared bank accounts that work for anyone, including roommates",Bradesco vai lançar novo banco digital: o Next.
-8222568914848295086,-8222568914848295086,"Three cultures, three continents and three lessons on leadership",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,O que você deve fazer para se tornar um líder melhor?,4 lessons we can learn from Denmark about happiness at work,Investimentos em coaching e mentoring aumentam nas empresas
-8208801367848627943,-8208801367848627943,So you want to sell to banks?,Time to Re-Think Design Thinking,How to Get a Job at Google,Stop Trying to Sound Smart When You're Writing,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles
-8204817396973648779,-8204817396973648779,Managing Machines at Spotify,The Pulse of a City - Uber Engineering Blog,Trooly is using machine learning to judge trustworthiness from digital footprints,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Conheça Cris Grether, a diretora Global de Design que liderou, em Atlanta, a reformulação das embalagens de Coca-Cola"
-8194774279664546436,-8194774279664546436,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Walmart compra startup para brigar com Amazon | EXAME.com,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Carrefour começa a operar e-commerce no Brasil | EXAME.com
-8193923078932592165,-8193923078932592165,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),Achievement Unlocked : AWS Certified Solutions Architect Professional
-8190931845319543363,-8190931845319543363,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",What readers think about computer-generated texts
-8189315446782327370,-8189315446782327370,Ordering coffee in Italy: the 10 commandments,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,To bot or not to bot
-8187220755213888616,-8187220755213888616,"Fintechs can help incumbents, not just disrupt them",Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search,2016 will be the year of conversational commerce - Chris Messina,O RH chega ao board
-8167536150098135304,-8167536150098135304,Microsoft's Open Source Love Affair Reaches New Heights,AI Revolution 101 - AI Revolution,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Cognitive Services-Intelligence Applications | Microsoft Azure,The Competitive Landscape for Machine Intelligence
-8159730897893673528,-8159730897893673528,"There will be a Drupal 9, and here is why",WeChat's competitor to Slack has arrived,WeChat's world,Uber China will reportedly merge with archrival Didi Chuxing,"How I built an app with 500,000 users in 5 days on a $100 server"
-8158171393641147845,-8158171393641147845,To bot or not to bot,What Pinterest learned in two years working on its search engine,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",Being A Developer After 40 - Free Code Camp,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-8149429101569453081,-8149429101569453081,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",Brazilian Government and Ericsson to innovate together for Internet of Things,Stay focused with Google Calendar event notifications in your browser,"PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails"
